nazwa_oryginalna,etykieta_docelowa (z makra),standard_key,ryzyko,sekcja (uzupelnij),znak (uzupelnij)
Nabycie wartości niematerialnych oraz rzeczowych środków trwałych,CAPEX (niematerialne i rzeczowe),capex,,,
Nakłady inwestycyjne,CAPEX (niematerialne i rzeczowe),capex,nazwa generyczna - moze pasowac do wielu pozycji,,
Płatności za zakup środków trwałych i wartości niematerialnych,CAPEX (niematerialne i rzeczowe),capex,,,
Wydatki na CAPEX (niematerialne i rzeczowe),CAPEX (niematerialne i rzeczowe),capex,,,
Wydatki na nabycie rzeczowych aktywów trwałych,CAPEX (niematerialne i rzeczowe),capex,,,
Zakup rzeczowych aktywów trwałych oraz wartości niematerialnych,CAPEX (niematerialne i rzeczowe),capex,,,
Zakup rzeczowych aktywów trwałych zaklasyfikowany jako działalność inwestycyjna,CAPEX (niematerialne i rzeczowe),capex,,,
Zakup wartości niematerialnych oraz rzeczowych aktywów trwałych,CAPEX (niematerialne i rzeczowe),capex,,,
[P] A Kapitał (fundusz) własny,Kapitał własny,capital,,,
A +kapitał (fundusz) własny,Kapitał własny,capital,,,
A KAPITAŁ (FUNDUSZ) WŁASNY,Kapitał własny,capital,,,
"A,KAPITAŁ (FUNDUSZ) WŁASNY",Kapitał własny,capital,,,
"A,Kapitał(fundusz)własny",Kapitał własny,capital,,,
I Kapitał własny,Kapitał własny,capital,,,
"I,Kapitał (fundusz) własny (I,a + I,b,)",Kapitał własny,capital,,,
"I,Kapitałwłasny",Kapitał własny,capital,nazwa generyczna - moze pasowac do wielu pozycji,,
Kapitał ( fundusz ) własny,Kapitał własny,capital,,,
Kapitał (fundusz) własny,Kapitał własny,capital,,,
KAPITAŁ (FUNDUSZ) WŁASNY (I-X),Kapitał własny,capital,,,
"Kapitał własny, w tym:",Kapitał własny,capital,,,
Kapitały własne,Kapitał własny,capital,nazwa generyczna - moze pasowac do wielu pozycji,,
Kapitał własny (przypisany akcjonariuszom Jednostki Dominującej),Kapitał własny akcjonariuszy jednostki dominującej,capital (czesc dominujaca),etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Kapitał własny przypadający na akcjonariuszy / udziałowców jednostki dominującej,Kapitał własny akcjonariuszy jednostki dominującej,capital (czesc dominujaca),etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Kapitał własny przypadający na Zysk netto akcjonariuszy jednostki dominującej,Kapitał własny akcjonariuszy jednostki dominującej,capital (czesc dominujaca),etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Kapitały własne akcjonariuszy jednostki dominującej,Kapitał własny akcjonariuszy jednostki dominującej,capital (czesc dominujaca),etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Razem kapitały przypisane akcjonariuszom jednostki dominującej,Kapitał własny akcjonariuszy jednostki dominującej,capital (czesc dominujaca),etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Razem kapitały przypisane Zysk netto akcjonariuszy jednostki dominującej,Kapitał własny akcjonariuszy jednostki dominującej,capital (czesc dominujaca),etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
1 środki pieniężne,Środki pieniężne i inne aktywa pieniężne,cash,,,
"4B ,III,1,C +środki pieniężne i inne aktywa pieniężne",Środki pieniężne i inne aktywa pieniężne,cash,,,
"6,Środki pieniężne",Środki pieniężne i inne aktywa pieniężne,cash,,,
"7,Środki pieniężne i ich ekwiwalenty",Środki pieniężne i inne aktywa pieniężne,cash,,,
"[A] B,III,1,c),-(1) środki pieniężne w kasie i na rachunkach",Środki pieniężne i inne aktywa pieniężne,cash,,,
"B,III,1,C +środki pieniężne i inne aktywa pieniężne",Środki pieniężne i inne aktywa pieniężne,cash,,,
"B,III,1,D +środki pieniężne i inne aktywa pieniężne",Środki pieniężne i inne aktywa pieniężne,cash,,,
c środki pieniężne i inne aktywa finansowe,Środki pieniężne i inne aktywa pieniężne,cash,,,
